Station,lat,lon
Kauhava lentokenttä,63.12033,23.04364
Rovaniemi Apukka,66.57944,26.01094
Kouvola Utti Lentoportintie,60.88909,26.92929
Turku lentoasema,60.51565,22.27916
Somero Salkola,60.64668,23.80559
Kuusamo Kiutaköngäs,66.36999,29.31188
Lieksa Lampela,63.32108,30.04578
Muonio Laukukero,68.06284,24.03335
Kemi Kemi-Tornio lentoasema,65.78944,24.58278
Inari Seitalaassa,69.04853,27.757
Kaskinen Sälgrund,62.33382,21.19081
Sotkamo Tuhkakylä,63.99618,28.05972
Jomala Jomalaby,60.17824,19.98686
Siikajoki Ruukki,64.68421,25.08919
Kittilä Pokka,68.16961,25.78316
Jyväskylä lentoasema,62.39758,25.67087
Helsinki Malmi lentokenttä,60.25299,25.04549
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379
Puumala kirkonkylä,61.52242,28.18491
Toholampi Laitala,63.82133,24.16323
