x1,x2
2.443699,4.081823
2.441854,4.071258
2.439951,4.060693
2.438054,4.050128
2.436673,4.044601
2.436356,4.039563
2.434972,4.028998
2.433407,4.018433
2.431687,4.007868
2.429853,3.997303
2.427961,3.986739
2.426076,3.976174
2.424471,3.968312
2.424319,3.965609
2.422942,3.955044
2.421385,3.944479
2.419673,3.933914
2.417849,3.923349
2.415969,3.912784
2.414094,3.902220
2.412287,3.891655
2.412269,3.891607
2.410912,3.881090
2.409362,3.870525
2.407659,3.859960
2.405844,3.849395
2.403973,3.838830
2.402108,3.828265
2.400311,3.817700
2.400067,3.816949
2.398883,3.807136
2.397340,3.796571
2.395645,3.786006
2.393838,3.775441
2.391976,3.764876
2.390119,3.754311
2.388331,3.743746
2.387865,3.742072
2.386856,3.733181
2.385319,3.722616
2.383630,3.712052
2.381831,3.701487
2.379976,3.690922
2.378128,3.680357
2.376347,3.669792
2.375663,3.666948
2.374831,3.659227
2.373300,3.648662
2.371618,3.638097
2.369827,3.627532
2.367982,3.616968
2.366146,3.606403
2.364381,3.595838
2.363460,3.591399
2.362836,3.585273
2.361333,3.574708
2.359696,3.564143
2.357977,3.553578
2.356248,3.543013
2.354594,3.532449
2.353113,3.521884
2.351910,3.511319
2.351258,3.503816
2.351100,3.500754
2.350754,3.490189
2.351129,3.479624
2.351258,3.479026
2.352335,3.469059
2.354556,3.458494
2.358050,3.447929
2.363049,3.437365
2.363460,3.436978
2.366790,3.426800
2.371550,3.416235
2.375663,3.410525
2.376719,3.405670
2.380886,3.395105
2.386305,3.384540
2.387865,3.382943
2.390673,3.373975
2.395412,3.363410
2.400067,3.356201
2.400784,3.352845
2.404927,3.342281
2.410211,3.331716
2.412269,3.329333
2.414773,3.321151
2.419444,3.310586
2.424471,3.302000
2.424895,3.300021
2.429020,3.289456
2.434184,3.278891
2.436673,3.275659
2.438888,3.268326
2.443504,3.257762
2.448876,3.247783
2.449003,3.247197
2.453123,3.236632
2.458184,3.226067
2.461078,3.221894
2.463000,3.215502
2.467577,3.204937
2.473001,3.194372
2.473280,3.194034
2.477227,3.183807
2.482205,3.173242
2.485482,3.168047
2.487106,3.162678
2.491657,3.152113
2.496947,3.141548
2.497684,3.140547
2.501331,3.130983
2.506243,3.120418
2.509886,3.114139
2.511205,3.109853
2.515743,3.099288
2.520920,3.088723
2.522089,3.086963
2.525432,3.078158
2.530294,3.067594
2.534291,3.060195
2.535293,3.057029
2.539833,3.046464
2.544917,3.035899
2.546493,3.033286
2.549528,3.025334
2.554356,3.014769
2.558695,3.006250
2.559370,3.004204
2.563924,2.993639
2.568934,2.983074
2.570897,2.979531
2.573618,2.972510
2.578427,2.961945
2.583099,2.952338
2.583433,2.951380
2.588016,2.940815
2.592969,2.930250
2.595302,2.925717
2.597701,2.919685
2.602505,2.909120
2.607477,2.898555
2.607504,2.898504
2.612106,2.887991
2.617018,2.877426
2.619706,2.871867
2.621774,2.866861
2.626589,2.856296
2.631483,2.845731
2.631908,2.844842
2.636193,2.835166
2.641079,2.824601
2.644110,2.818011
2.645836,2.814036
