iter,w1,w2,fval
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01
1.000000000000000000e+00,9.800000000999999905e-01,9.800000000020000490e-01,4.898040000039200947e+01
2.000000000000000000e+00,9.600115515344782580e-01,9.600115513376122900e-01,4.700273111416208138e+01
3.000000000000000000e+00,9.400426585087414688e-01,9.400426582122141106e-01,4.506769016275045914e+01
4.000000000000000000e+00,9.201015351166191847e-01,9.201015347197109007e-01,4.317592854460232843e+01
5.000000000000000000e+00,9.001965899702129015e-01,9.001965894722857575e-01,4.132804888547074995e+01
6.000000000000000000e+00,8.803364098525244819e-01,8.803364092530275853e-01,3.952460186733772929e+01
7.000000000000000000e+00,8.605297424851536814e-01,8.605297417836286211e-01,3.776608326241149172e+01
8.000000000000000000e+00,8.407854785080099980e-01,8.407854777040966177e-01,3.605293119677524061e+01
9.000000000000000000e+00,8.211126327711804063e-01,8.211126318646221334e-01,3.438552366607873978e+01
1.000000000000000000e+01,8.015203250407462177e-01,8.015203240313955035e-01,3.276417632322308293e+01
1.100000000000000000e+01,7.820177602205169443e-01,7.820177591083404822e-01,3.118914055534183305e+01
1.200000000000000000e+01,7.626142081904266901e-01,7.626142069755106334e-01,2.966060186457826120e+01
1.300000000000000000e+01,7.433189833598521368e-01,7.433189820424072058e-01,2.817867856425114681e+01
1.400000000000000000e+01,7.241414240305190653e-01,7.241414226108853214e-01,2.674342079904278791e+01
1.500000000000000000e+01,7.050908716591389735e-01,7.050908701377902599e-01,2.535480989488035419e+01
1.600000000000000000e+01,6.861766501046506761e-01,6.861766484821991696e-01,2.401275804126201407e+01
1.700000000000000000e+01,6.674080449391416314e-01,6.674080432163417287e-01,2.271710830594279784e+01
1.800000000000000000e+01,6.487942828953802143e-01,6.487942810731325283e-01,2.146763497917787333e+01
1.900000000000000000e+01,6.303445115176147251e-01,6.303445095969691936e-01,2.026404424215255773e+01
2.000000000000000000e+01,6.120677790760556958e-01,6.120677770582148014e-01,1.910597515183232176e+01
2.100000000000000000e+01,5.939730147994441989e-01,5.939730126857655224e-01,1.799300093226016983e+01
2.200000000000000000e+01,5.760690094744516099e-01,5.760690072664500505e-01,1.692463056032454105e+01
2.300000000000000000e+01,5.583643964554922956e-01,5.583643941548416256e-01,1.590031063222427221e+01
2.400000000000000000e+01,5.408676331239515855e-01,5.408676307324856714e-01,1.491942749526972989e+01
2.500000000000000000e+01,5.235869828319170693e-01,5.235869803516307597e-01,1.398130962827797852e+01
2.600000000000000000e+01,5.065304973622808404e-01,5.065304947953298553e-01,1.308523025263816386e+01
2.700000000000000000e+01,4.897059999345846903e-01,4.897059972832851216e-01,1.223041015513277330e+01
2.800000000000000000e+01,4.731210687841880258e-01,4.731210660510154487e-01,1.141602070278995917e+01
2.900000000000000000e+01,4.567830213412176210e-01,4.567830185288053735e-01,1.064118702939996020e+01
3.000000000000000000e+01,4.406988990352538882e-01,4.406988961463906840e-01,9.904991372843246822e+00
3.100000000000000000e+01,4.248754527517399904e-01,4.248754497893669768e-01,9.206476542036840627e+00
3.200000000000000000e+01,4.093191289665818466e-01,4.093191259337890520e-01,8.544649492098013610e+00
3.300000000000000000e+01,3.940360565862299769e-01,3.940360534862519248e-01,7.918484986241046464e+00
3.400000000000000000e+01,3.790320345215891229e-01,3.790320313577999478e-01,7.326929322954586432e+00
3.500000000000000000e+01,3.643125200252727014e-01,3.643125168011805415e-01,6.768904107147688087e+00
3.600000000000000000e+01,3.498826178228854888e-01,3.498826145421261025e-01,6.243310044196295649e+00
3.700000000000000000e+01,3.357470700700672661e-01,3.357470667363972039e-01,5.749030736165371636e+00
3.800000000000000000e+01,3.219102471678499944e-01,3.219102437851390497e-01,5.284936459922048968e+00
3.900000000000000000e+01,3.083761394693720348e-01,3.083761360415950836e-01,4.849887907391251751e+00
4.000000000000000000e+01,2.951483499110618136e-01,2.951483464422899883e-01,4.442739868836124373e+00
4.100000000000000000e+01,2.822300876009764536e-01,2.822300840953679835e-01,4.062344840771179300e+00
4.200000000000000000e+01,2.696241623959932387e-01,2.696241588577835691e-01,3.707556540936106426e+00
4.300000000000000000e+01,2.573329804979591073e-01,2.573329769314506299e-01,3.377233313672088233e+00
4.400000000000000000e+01,2.453585410966781510e-01,2.453585375062294904e-01,3.070241410048881736e+00
4.500000000000000000e+01,2.337024340847468629e-01,2.337024304747617465e-01,2.785458128187678017e+00
4.600000000000000000e+01,2.223658388657421547e-01,2.223658352406580052e-01,2.521774800408238537e+00
4.700000000000000000e+01,2.113495242731485146e-01,2.113495206374247648e-01,2.278099615093947872e+00
4.800000000000000000e+01,2.006538496127231730e-01,2.006538459708293309e-01,2.053360262508670431e+00
4.900000000000000000e+01,1.902787668357943107e-01,1.902787631921979417e-01,1.846506395206177764e+00
5.000000000000000000e+01,1.802238238453381935e-01,1.802238202044926518e-01,1.656511895136500323e+00
5.100000000000000000e+01,1.704881689306657344e-01,1.704881652969980621e-01,1.482376941062157893e+00
5.200000000000000000e+01,1.610705563202578516e-01,1.610705526981565661e-01,1.323129871437799032e+00
5.300000000000000000e+01,1.519693528358165013e-01,1.519693492296196324e-01,1.177828839465041577e+00
5.400000000000000000e+01,1.431825456240455874e-01,1.431825420380286595e-01,1.045563258594974121e+00
5.500000000000000000e+01,1.347077509361434555e-01,1.347077473745079135e-01,9.254550382979862544e-01
5.600000000000000000e+01,1.265422239185777509e-01,1.265422203854395800e-01,8.166596114381174942e-01
5.700000000000000000e+01,1.186828693725201084e-01,1.186828658718988155e-01,7.183667560608508751e-01
5.800000000000000000e+01,1.111262534334349489e-01,1.111262499692429184e-01,6.298012158134850269e-01
5.900000000000000000e+01,1.038686161168267674e-01,1.038686126928591164e-01,5.502231245509834334e-01
6.000000000000000000e+01,9.690588467112973281e-02,9.690588129105466575e-02,4.789282419236932098e-01
6.100000000000000000e+01,9.023368767423574355e-02,9.023368434158542117e-02,4.152480078841354616e-01
6.200000000000000000e+01,8.384736980625562275e-02,8.384736652441768245e-02,3.585494250774289293e-01
6.300000000000000000e+01,7.774200722783465578e-02,7.774200400004431522e-02,3.082347789849580466e-01
6.400000000000000000e+01,7.191242349072544948e-02,7.191242032005829010e-02,2.637412064667460365e-01
6.500000000000000000e+01,6.635320590537555074e-02,6.635320279474095362e-02,2.245401239899221246e-01
6.600000000000000000e+01,6.105872228901790266e-02,6.105871924115324062e-02,1.901365273360662578e-01
6.700000000000000000e+01,5.602313801715284175e-02,5.602313503461837235e-02,1.600681749486431715e-01
6.800000000000000000e+01,5.124043330136204832e-02,5.124043038653653542e-02,1.339046673147861743e-01
6.900000000000000000e+01,4.670442061707212600e-02,4.670441777214920376e-02,1.112464348769487132e-01
7.000000000000000000e+01,4.240876220615202169e-02,4.240875943313731494e-02,9.172364694474360869e-02
7.100000000000000000e+01,3.834698758104262972e-02,3.834698488175158904e-02,7.499505393260488817e-02
7.200000000000000000e+01,3.451251095943067698e-02,3.451250833548719088e-02,6.074677499307846312e-02
7.300000000000000000e+01,3.089864856124096767e-02,3.089864601407665487e-02,4.869104275807183135e-02
7.400000000000000000e+01,2.749863570287555334e-02,2.749863323372977661e-02,3.856491645167884480e-02
7.500000000000000000e+01,2.430564362712033660e-02,2.430564123704092097e-02,3.012897410931578146e-02
7.600000000000000000e+01,2.131279601091116624e-02,2.131279370075575899e-02,2.316599404035142584e-02
7.700000000000000000e+01,1.851318509714727778e-02,1.851318286758537116e-02,1.747963501687406149e-02
7.800000000000000000e+01,1.589988740090551161e-02,1.589988525242107958e-02,1.289312397136934026e-02
7.900000000000000000e+01,1.346597894469194617e-02,1.346597687758665715e-02,9.247959252323811191e-03
8.000000000000000000e+01,1.120454998171984372e-02,1.120454799611684225e-02,6.402636730157154968e-03
8.100000000000000000e+01,9.108719170578746804e-03,9.108717266426948761e-03,4.231405276913689610e-03
8.200000000000000000e+01,7.171647169018032821e-03,7.171645346096914078e-03,2.623057371626560941e-03
8.300000000000000000e+01,5.386549618872249479e-03,5.386547876797084800e-03,1.479759818247932063e-03
8.400000000000000000e+01,3.746709498372398448e-03,3.746707836599919277e-03,7.159288127071562454e-04
8.500000000000000000e+01,2.245488822188913651e-03,2.245487240023345387e-03,2.571528673059583553e-04
8.600000000000000000e+01,8.763396735142912810e-04,8.763381701137340236e-04,3.916640064328952417e-05
8.700000000000000000e+01,-3.671854437035796444e-04,-3.671868693204659046e-04,6.876135000136040291e-06
8.800000000000000000e+01,-1.491423940638226999e-03,-1.491425289585265272e-03,1.134418150914334896e-04
8.900000000000000000e+01,-2.502594172391564044e-03,-2.502595445907873813e-03,3.194121758856296664e-04
9.000000000000000000e+01,-3.406787161306333404e-03,-3.406788360748947645e-03,5.919165455091667579e-04
9.100000000000000000e+01,-4.209959013316640422e-03,-4.209960140152962590e-03,9.039119739776436263e-04
9.200000000000000000e+01,-4.917924023031678728e-03,-4.917925078831812680e-03,1.233485330746456575e-03
9.300000000000000000e+01,-5.536348460616203997e-03,-5.536349447045196305e-03,1.563209414267249927e-03
9.400000000000000000e+01,-6.070745031104612596e-03,-6.070745949914633718e-03,1.879551764652927703e-03
9.500000000000000000e+01,-6.526467994560654524e-03,-6.526468847583154383e-03,2.172334565407693912e-03
9.600000000000000000e+01,-6.908708933467612619e-03,-6.908709722605483119e-03,2.434243760688551642e-03
9.700000000000000000e+01,-7.222493151898777379e-03,-7.222493879118546158e-03,2.660385299024467867e-03
9.800000000000000000e+01,-7.472676689368922334e-03,-7.472677356693009816e-03,2.847886240765459213e-03
9.900000000000000000e+01,-7.663943930797311073e-03,-7.663944540296376874e-03,2.995538332411336584e-03
1.000000000000000000e+02,-7.800805792714140922e-03,-7.800806346499546476e-03,3.103481553795022375e-03
1.010000000000000000e+02,-7.887598464707518131e-03,-7.887598964923922887e-03,3.172925081113903405e-03
1.020000000000000000e+02,-7.928482684129259037e-03,-7.928483132947380593e-03,3.205903077144092728e-03
1.030000000000000000e+02,-7.927443521247148905e-03,-7.927443920856706155e-03,3.205062716698960871e-03
1.040000000000000000e+02,-7.888290651340907483e-03,-7.888291003943760649e-03,3.173481877545035468e-03
1.050000000000000000e+02,-7.814659089681395832e-03,-7.814659397484905942e-03,3.114513971622897767e-03
1.060000000000000000e+02,-7.710010364900006692e-03,-7.710010630110630987e-03,3.031657455647811684e-03
1.070000000000000000e+02,-7.577634105940501789e-03,-7.577634330757638051e-03,2.928447641177351051e-03
1.080000000000000000e+02,-7.420650017581744209e-03,-7.420650204191837039e-03,2.808368519332053812e-03
1.090000000000000000e+02,-7.242010219420074238e-03,-7.242010369990993686e-03,2.674782421971039388e-03
1.100000000000000000e+02,-7.044501923198051747e-03,-7.044502039873758170e-03,2.530875456835217797e-03
1.110000000000000000e+02,-6.830750423455645565e-03,-6.830750508351144182e-03,2.379616776714510180e-03
1.120000000000000000e+02,-6.603222376654768744e-03,-6.603222431851365169e-03,2.223729869980806823e-03
1.130000000000000000e+02,-6.364229344182563419e-03,-6.364229371723421902e-03,2.065674189940709844e-03
1.140000000000000000e+02,-6.115931574967516104e-03,-6.115931576853527417e-03,1.907635571667388530e-03
1.150000000000000000e+02,-5.860342003840021338e-03,-5.860341982025982915e-03,1.751524015716782873e-03
1.160000000000000000e+02,-5.599330442230242462e-03,-5.599330398621350791e-03,1.598977547047543022e-03
1.170000000000000000e+02,-5.334627938316099938e-03,-5.334627874764756063e-03,1.451370983351119503e-03
1.180000000000000000e+02,-5.067831284308092765e-03,-5.067831202611019180e-03,1.309828568834104246e-03
1.190000000000000000e+02,-4.800407649180774700e-03,-4.800407551076443617e-03,1.175239546419900227e-03
1.200000000000000000e+02,-4.533699315828458414e-03,-4.533699202994825352e-03,1.048275852648139364e-03
