iter,w1,w2,fval
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01
1.000000000000000000e+00,9.819999999999999840e-01,1.000000000000000888e-01,1.464324000000000847e+00
2.000000000000000000e+00,9.643239999999999590e-01,1.000000000000000888e-02,9.349207769759999564e-01
3.000000000000000000e+00,9.469661679999999970e-01,1.000000000000000888e-03,8.967949233366042661e-01
4.000000000000000000e+00,9.299207769759999520e-01,1.000000000000001539e-04,8.647531514516474394e-01
5.000000000000000000e+00,9.131822029904319571e-01,1.000000000000001268e-05,8.339017408584584734e-01
6.000000000000000000e+00,8.967449233366041605e-01,1.000000000000002284e-06,8.041514575799720843e-01
7.000000000000000000e+00,8.806035147165452992e-01,1.000000000000002072e-07,7.754625501316328995e-01
8.000000000000000000e+00,8.647526514516474805e-01,1.000000000000002337e-08,7.477971481926595221e-01
9.000000000000000000e+00,8.491871037255178667e-01,1.000000000000003991e-09,7.211187371337334229e-01
1.000000000000000000e+01,8.339017358584585038e-01,1.000000000000004819e-10,6.953921050677502880e-01
1.100000000000000000e+01,8.188915046130063047e-01,1.000000000000005594e-11,6.705832963273533620e-01
1.200000000000000000e+01,8.041514575299721912e-01,1.000000000000006240e-12,6.466595666475786208e-01
1.300000000000000000e+01,7.896767312944327211e-01,1.000000000000006846e-13,6.235893399478596999e-01
1.400000000000000000e+01,7.754625501311329661e-01,1.000000000000007099e-14,6.013421666558799172e-01
1.500000000000000000e+01,7.615042242287726193e-01,1.000000000000008361e-15,5.798886835182648358e-01
1.600000000000000000e+01,7.477971481926547481e-01,1.000000000000008361e-16,5.592005748450672442e-01
1.700000000000000000e+01,7.343367995251869340e-01,1.000000000000008854e-17,5.392505351368945821e-01
1.800000000000000000e+01,7.211187371337335339e-01,1.000000000000010086e-18,5.200122330453507136e-01
1.900000000000000000e+01,7.081385998653263458e-01,1.000000000000010086e-19,5.014602766192247651e-01
2.000000000000000000e+01,6.953921050677505100e-01,1.000000000000010327e-20,4.835701797905573862e-01
2.100000000000000000e+01,6.828750471765310248e-01,1.000000000000012133e-21,4.663183300563494837e-01
2.200000000000000000e+01,6.705832963273534730e-01,1.000000000000012509e-22,4.496819573132591619e-01
2.300000000000000000e+01,6.585127969934611025e-01,1.000000000000013919e-23,4.336391038041513268e-01
2.400000000000000000e+01,6.466595666475788429e-01,1.000000000000013332e-24,4.181685951368344645e-01
2.500000000000000000e+01,6.350196944479223893e-01,1.000000000000013699e-25,4.032500123367326883e-01
2.600000000000000000e+01,6.235893399478598109e-01,1.000000000000015536e-26,3.888636648966074527e-01
2.700000000000000000e+01,6.123647318287983587e-01,1.000000000000015823e-27,3.749905647877561088e-01
2.800000000000000000e+01,6.013421666558800283e-01,1.000000000000016899e-28,3.616124013983881835e-01
2.900000000000000000e+01,5.905180076560742064e-01,1.000000000000016899e-29,3.487115173660992884e-01
3.000000000000000000e+01,5.798886835182648358e-01,1.000000000000016899e-30,3.362708852725463382e-01
3.100000000000000000e+01,5.694506872149360799e-01,1.000000000000017600e-31,3.242740851695629645e-01
3.200000000000000000e+01,5.592005748450672442e-01,1.000000000000018256e-32,3.127052829070536277e-01
3.300000000000000000e+01,5.491349644978560374e-01,1.000000000000018530e-33,3.015492092340615882e-01
3.400000000000000000e+01,5.392505351368945821e-01,1.000000000000020241e-34,2.907911396454271880e-01
3.500000000000000000e+01,5.295440255044304712e-01,1.000000000000021524e-35,2.804168749474368894e-01
3.600000000000000000e+01,5.200122330453507136e-01,1.000000000000020989e-36,2.704127225168121429e-01
3.700000000000000000e+01,5.106520128505344092e-01,1.000000000000020321e-37,2.607654782283023720e-01
3.800000000000000000e+01,5.014602766192247651e-01,1.000000000000021365e-38,2.514624090270294321e-01
3.900000000000000000e+01,4.924339916400787276e-01,1.000000000000022931e-39,2.424912361225811386e-01
4.000000000000000000e+01,4.835701797905573307e-01,1.000000000000025215e-40,2.338401187826719407e-01
4.100000000000000000e+01,4.748659165543273053e-01,1.000000000000025623e-41,2.254976387049813513e-01
4.200000000000000000e+01,4.663183300563494282e-01,1.000000000000026642e-42,2.174527849465424378e-01
4.300000000000000000e+01,4.579246001153351453e-01,1.000000000000026961e-43,2.096949393907895920e-01
4.400000000000000000e+01,4.496819573132591064e-01,1.000000000000028952e-44,2.022138627330837823e-01
4.500000000000000000e+01,4.415876820816204695e-01,1.000000000000030944e-45,1.949996809662183084e-01
4.600000000000000000e+01,4.336391038041513268e-01,1.000000000000030944e-46,1.880428723480675191e-01
4.700000000000000000e+01,4.258335999356765988e-01,1.000000000000031333e-47,1.813342548341778659e-01
4.800000000000000000e+01,4.181685951368344090e-01,1.000000000000032791e-48,1.748649739587137264e-01
4.900000000000000000e+01,4.106415604243713879e-01,1.000000000000032791e-49,1.686264911477626527e-01
5.000000000000000000e+01,4.032500123367326883e-01,1.000000000000034310e-50,1.626105724495750526e-01
5.100000000000000000e+01,3.959915121146714845e-01,1.000000000000035023e-51,1.568092776668640054e-01
5.200000000000000000e+01,3.888636648966073972e-01,1.000000000000035616e-52,1.512149498768209643e-01
5.300000000000000000e+01,3.818641189284684434e-01,1.000000000000035616e-53,1.458202053250154950e-01
5.400000000000000000e+01,3.749905647877559978e-01,1.000000000000036543e-54,1.406179236798402177e-01
5.500000000000000000e+01,3.682407346215764155e-01,1.000000000000037123e-55,1.356012386346382714e-01
5.600000000000000000e+01,3.616124013983880170e-01,1.000000000000037847e-56,1.307635288451088895e-01
5.700000000000000000e+01,3.551033781732170214e-01,1.000000000000038300e-57,1.260984091900307913e-01
5.800000000000000000e+01,3.487115173660991219e-01,1.000000000000039998e-58,1.215997223437672442e-01
5.900000000000000000e+01,3.424347100535093391e-01,1.000000000000040706e-59,1.172615306494310117e-01
6.000000000000000000e+01,3.362708852725461717e-01,1.000000000000041148e-60,1.130781082819819067e-01
6.100000000000000000e+01,3.302180093376403391e-01,1.000000000000042529e-61,1.090439336909139190e-01
6.200000000000000000e+01,3.242740851695627979e-01,1.000000000000043220e-62,1.051536823125568676e-01
6.300000000000000000e+01,3.184371516365106514e-01,1.000000000000043652e-63,1.014022195423740780e-01
6.400000000000000000e+01,3.127052829070534612e-01,1.000000000000045002e-64,9.778459395798033693e-02
6.500000000000000000e+01,3.070765878147265204e-01,1.000000000000045676e-65,9.429603078393544724e-02
6.600000000000000000e+01,3.015492092340614216e-01,1.000000000000046098e-66,9.093192558968775374e-02
6.700000000000000000e+01,2.961213234678483075e-01,1.000000000000046889e-67,8.768783821235004439e-02
6.800000000000000000e+01,2.907911396454270214e-01,1.000000000000047218e-68,8.455948689628624282e-02
6.900000000000000000e+01,2.855568991318093164e-01,1.000000000000048865e-69,8.154274264177431564e-02
7.000000000000000000e+01,2.804168749474367228e-01,1.000000000000049380e-70,7.863362375528636095e-02
7.100000000000000000e+01,2.753693711983828396e-01,1.000000000000050989e-71,7.582829059419275708e-02
7.200000000000000000e+01,2.704127225168119208e-01,1.000000000000051994e-72,7.312304049895432256e-02
7.300000000000000000e+01,2.655452935115092949e-01,1.000000000000053251e-73,7.051430290611361562e-02
7.400000000000000000e+01,2.607654782283021500e-01,1.000000000000055136e-74,6.799863463563511623e-02
7.500000000000000000e+01,2.560716996201927165e-01,1.000000000000055921e-75,6.557271534637421073e-02
7.600000000000000000e+01,2.514624090270292656e-01,1.000000000000057149e-76,6.323334315367697134e-02
7.700000000000000000e+01,2.469360856645427260e-01,1.000000000000058989e-77,6.097743040332638531e-02
7.800000000000000000e+01,2.424912361225809443e-01,1.000000000000060524e-78,5.880199959625730805e-02
7.900000000000000000e+01,2.381263938723744977e-01,1.000000000000061722e-79,5.670417945866123438e-02
8.000000000000000000e+01,2.338401187826717464e-01,1.000000000000062321e-80,5.468120115229403028e-02
8.100000000000000000e+01,2.296309966445836681e-01,1.000000000000062696e-81,5.273039461998479255e-02
8.200000000000000000e+01,2.254976387049811570e-01,1.000000000000064334e-82,5.084918506152221601e-02
8.300000000000000000e+01,2.214386812082914935e-01,1.000000000000064042e-83,4.903508953526734826e-02
8.400000000000000000e+01,2.174527849465422435e-01,1.000000000000064042e-84,4.728571368100714656e-02
8.500000000000000000e+01,2.135386348175044857e-01,1.000000000000064270e-85,4.559874855972353980e-02
8.600000000000000000e+01,2.096949393907893977e-01,1.000000000000065985e-86,4.397196760610683902e-02
8.700000000000000000e+01,2.059204304817551789e-01,1.000000000000065985e-87,4.240322368979136669e-02
8.800000000000000000e+01,2.022138627330835881e-01,1.000000000000066208e-88,4.089044628143437277e-02
8.900000000000000000e+01,1.985740132038880945e-01,1.000000000000067882e-89,3.943163871989792402e-02
9.000000000000000000e+01,1.949996809662181141e-01,1.000000000000068231e-90,3.802487557692684622e-02
9.100000000000000000e+01,1.914896867088261845e-01,1.000000000000069103e-91,3.666830011584440441e-02
9.200000000000000000e+01,1.880428723480673248e-01,1.000000000000069648e-92,3.536012184091154309e-02
9.300000000000000000e+01,1.846581006458021257e-01,1.000000000000071011e-93,3.409861413411519049e-02
9.400000000000000000e+01,1.813342548341776994e-01,1.000000000000072075e-94,3.288211197626649679e-02
9.500000000000000000e+01,1.780702382471625045e-01,1.000000000000073672e-95,3.170900974940121797e-02
9.600000000000000000e+01,1.748649739587135876e-01,1.000000000000076001e-96,3.057775911758158285e-02
9.700000000000000000e+01,1.717174044274567546e-01,1.000000000000075793e-97,2.948686698330274525e-02
9.800000000000000000e+01,1.686264911477625417e-01,1.000000000000075793e-98,2.843489351680643720e-02
9.900000000000000000e+01,1.655912143071028297e-01,1.000000000000076767e-99,2.742045025570085531e-02
1.000000000000000000e+02,1.626105724495749694e-01,1.000000000000077173e-100,2.644219827237847056e-02
1.010000000000000000e+02,1.596835821454826165e-01,1.000000000000079204e-101,2.549884640681309572e-02
1.020000000000000000e+02,1.568092776668639221e-01,1.000000000000079838e-102,2.458914956240362826e-02
1.030000000000000000e+02,1.539867106688603826e-01,1.000000000000080631e-103,2.371190706261532000e-02
1.040000000000000000e+02,1.512149498768209088e-01,1.000000000000081871e-104,2.286596106624946140e-02
1.050000000000000000e+02,1.484930807790381391e-01,1.000000000000083420e-105,2.205019503924994517e-02
1.060000000000000000e+02,1.458202053250154395e-01,1.000000000000083807e-106,2.126353228102965953e-02
1.070000000000000000e+02,1.431954416291651710e-01,1.000000000000085017e-107,2.050493450337164889e-02
1.080000000000000000e+02,1.406179236798401899e-01,1.000000000000086832e-108,1.977340046002936183e-02
