fpr,tpr
0.000000,0.000000
0.000000,0.190000
0.000000,0.210000
0.000000,0.165000
0.000000,0.165000
0.000000,0.150000
0.000000,0.350000
0.000000,0.395000
0.000000,0.445000
0.000000,0.245000
0.000000,0.285000
0.000000,0.320000
0.000000,0.020000
0.000000,0.030000
0.000000,0.030000
0.000000,0.000000
0.000000,0.005000
0.000000,0.030000
0.000000,0.055000
0.000000,0.055000
0.000000,0.055000
0.000000,0.030000
0.000000,0.045000
0.005000,0.505000
0.005000,0.445000
0.010000,0.645000
0.010000,0.655000
0.010000,0.525000
0.010000,0.570000
0.015000,0.680000
0.020000,0.715000
0.025000,0.775000
0.025000,0.775000
0.040000,0.850000
0.040000,0.835000
0.040000,0.830000
0.050000,0.860000
0.055000,0.865000
0.090000,0.885000
0.105000,0.920000
0.110000,0.925000
0.135000,0.930000
0.155000,0.950000
0.170000,0.960000
0.180000,0.975000
0.230000,0.975000
0.270000,0.980000
0.315000,0.985000
0.365000,0.990000
0.400000,0.990000
0.425000,0.995000
0.475000,0.995000
0.490000,0.995000
0.535000,1.000000
0.570000,1.000000
0.610000,1.000000
0.650000,1.000000
0.715000,1.000000
0.765000,1.000000
0.795000,1.000000
0.820000,1.000000
0.855000,1.000000
0.885000,1.000000
0.900000,1.000000
0.925000,1.000000
0.935000,1.000000
0.945000,1.000000
0.960000,1.000000
0.970000,1.000000
0.975000,1.000000
0.980000,1.000000
0.985000,1.000000
0.985000,1.000000
0.990000,1.000000
0.990000,1.000000
0.990000,1.000000
0.995000,1.000000
0.995000,1.000000
1.000000,1.000000
1.000000,1.000000
